model_tag,model_label,bucket,metric,n,mean,ci95_low,ci95_high
v2_sched_samp_baseline,Baseline,T0->T3,det_ftv_bias_ml,758,-12.506295442557057,-14.344204939816304,-10.770839295766102
v2_sched_samp_baseline,Baseline,T0->T3,det_ftv_mae_ml,758,12.878218933862831,11.115684903486574,14.824854260891508
v2_sched_samp_baseline,Baseline,T0->T3,mc_mean_ftv_bias_ml,758,6.356515860232198,4.622696630919175,7.954960668621124
v2_sched_samp_baseline,Baseline,T0->T3,mc_mean_ftv_mae_ml,758,15.261940008902894,14.027629369524377,16.680793440686145
v2_sched_samp_baseline,Baseline,T0->T3,raw_90_coverage,758,0.7664907651715039,0.7361477572559367,0.7968337730870713
v2_sched_samp_baseline,Baseline,T0->T3,raw_90_width_ml,758,56.87184068818678,55.7562367973587,58.03185222926215
v2_sched_samp_baseline,Baseline,T0->T3,conformal_90_width_ml,758,59.51459803718567,58.346937734402765,60.70815145745052
v2_sched_samp_baseline,Baseline,T0->T3,crps,758,8.354038658331318,7.216324324244144,9.635051434271517
v2_sched_samp_baseline,Baseline,T0->T3,mc_alive_abs_err,758,40.783022757255935,36.91633229922493,44.77790456484993
v2_sched_samp_baseline,Baseline,T1->T3,det_ftv_bias_ml,758,-12.743350955347685,-14.487668949851424,-11.059627978734168
v2_sched_samp_baseline,Baseline,T1->T3,det_ftv_mae_ml,758,13.171908347853684,11.496657110042158,15.000565630003187
v2_sched_samp_baseline,Baseline,T1->T3,mc_mean_ftv_bias_ml,758,6.904880361994453,5.326893645932199,8.295592472089329
v2_sched_samp_baseline,Baseline,T1->T3,mc_mean_ftv_mae_ml,758,14.875411051154453,13.807374074534408,16.09314459675754
v2_sched_samp_baseline,Baseline,T1->T3,raw_90_coverage,758,0.7638522427440633,0.7335092348284961,0.7941952506596306
v2_sched_samp_baseline,Baseline,T1->T3,raw_90_width_ml,758,57.93882615620298,56.79554963435722,59.09328045529178
v2_sched_samp_baseline,Baseline,T1->T3,conformal_90_width_ml,758,60.14370894480905,58.992141236321054,61.32771918814436
v2_sched_samp_baseline,Baseline,T1->T3,crps,758,8.098104932427637,7.149580955119118,9.188155086938822
v2_sched_samp_baseline,Baseline,T1->T3,mc_alive_abs_err,758,41.311474480540895,37.11957763027704,45.307821260718995
v2_sched_samp_baseline,Baseline,T2->T3,det_ftv_bias_ml,758,-12.754704223619814,-14.354522025152525,-11.241012120703079
