cohort,variant,label,n_patients,n_rows,obs_ftv_mean_ml,det_ftv_mae_ml,det_ftv_bias_ml,mc_mean_ftv_mae_ml,mc_mean_ftv_bias_ml,mc_sample_abs_err_ml,crps_ftv_ml,raw_coverage90,conformal_coverage90,raw_width90_ml,conformal_width90_ml,mc_std_ml,alive_abs_err_mc,swd_mm_mc,chamfer_mm_mc,dice_mc
breast_T0_to_T3,original_consistent_mc,Original consistent rollout MC,758,758,24.941126401705645,12.878218933862831,-12.506295442557057,15.261940008902894,6.356515860232198,18.8090106050642,8.354038658331318,0.7664907651715039,0.9010554089709762,56.87184068818678,59.51459803718567,27.555684882456333,40.783022757255935,1.320410896602223,3.6561073841503404,0.04737038733276247
breast_T1_to_T3,original_consistent_mc,Original consistent rollout MC,758,758,24.941126401705645,13.171908347853684,-12.743350955347685,14.875411051154453,6.904880361994453,18.562995681252445,8.098104932427637,0.7638522427440633,0.9010554089709762,57.93882615620298,60.14370894480905,26.383024516482696,41.311474480540895,1.8138833046639056,4.421017345552866,0.03409189682102142
breast_T2_to_T3,original_consistent_mc,Original consistent rollout MC,758,758,24.941126401705645,13.046735431597394,-12.754704223619814,13.802116891868737,7.023957571835267,17.608349433520406,7.48972825984209,0.7757255936675461,0.9010554089709762,57.90978281932022,60.24950412542999,24.305342402665058,41.641274323878626,2.9657002861927038,5.737823310736217,0.035473934392738
breast_T0_to_T3,endpoint_ftv010_alive000,"Endpoint FTV 0.10, no alive mass",758,758,24.941126401705645,5.994547561057249,-1.505626845216242,7.305523685605937,1.1388033852387351,9.98305509428971,5.145158073161813,0.8746701846965699,0.9010554089709762,23.958590066719648,26.923149448704347,16.188489408329424,7.004911156002638,1.2143383627789202,3.498403924842719,0.0509831409775646
breast_T1_to_T3,endpoint_ftv010_alive000,"Endpoint FTV 0.10, no alive mass",758,758,24.941126401705645,5.613857028992617,-2.047903890925234,7.169886527947101,2.0616243415461275,9.4622544024214,4.8751961951303375,0.8548812664907651,0.9010554089709762,24.795844455972254,31.003878887948403,13.834112787895311,6.850475140171504,1.720755208951754,4.27707634569761,0.03713646038535404
breast_T2_to_T3,endpoint_ftv010_alive000,"Endpoint FTV 0.10, no alive mass",758,758,24.941126401705645,4.72045229144934,-1.7448586851060552,5.886573061138474,2.04954609497524,7.865710486707113,4.015886416004414,0.8799472295514512,0.9010554089709762,21.57091072755688,24.559385494444452,10.659719216437193,5.81998268469657,2.9062442965751525,5.633808083325734,0.03870130385047547
breast_T0_to_T3,endpoint_ftv010_alive002,Endpoint FTV 0.10 + light alive,758,758,24.941126401705645,5.9873080511511,-1.4983617703004475,7.5254304321994026,1.7590232427798582,10.117468693811897,5.186175190825248,0.8825857519788918,0.9010554089709762,24.809935512550197,29.138244730142745,16.295843199874028,2.703557882585752,1.2053860771385356,3.4851331822597547,0.05142947251765349
breast_T1_to_T3,endpoint_ftv010_alive002,Endpoint FTV 0.10 + light alive,758,758,24.941126401705645,5.61906963666415,-1.8116186131094274,7.135565683485361,2.24761026564051,9.437032609181257,4.8983149343260814,0.8654353562005277,0.9010554089709762,24.290567722382153,30.447528192779576,13.634962954383667,2.703954691622691,1.7143360812701338,4.256575205543162,0.0374689432771958
breast_T2_to_T3,endpoint_ftv010_alive002,Endpoint FTV 0.10 + light alive,758,758,24.941126401705645,4.668676339778719,-1.4143910180247625,5.805554177479917,2.1337413343577007,7.796616221152151,4.0290083871086235,0.8720316622691293,0.9010554089709762,20.978176251779445,24.834103406811526,10.41459160077518,2.6817024653693933,2.880156780636568,5.587355954587768,0.039009467478128466
breast_T0_to_T3,endpoint_ftv020_alive005,Endpoint FTV 0.20 + alive 0.05,758,758,24.941126401705645,5.881089204826843,-1.7340523502458325,7.608714231759333,1.931607370827989,10.032045230720366,5.156204494159763,0.8759894459102903,0.9010554089709762,24.423730249919142,27.948916634989093,16.103833853856774,2.6918494393139842,1.20739733271003,3.4851397698441113,0.051402740422183985
breast_T1_to_T3,endpoint_ftv020_alive005,Endpoint FTV 0.20 + alive 0.05,758,758,24.941126401705645,5.588915532068358,-1.9185302533161175,7.184508866397262,2.47042753654457,9.445155263419439,4.888666915505546,0.8575197889182058,0.9010554089709762,24.47034989123393,29.613435182696062,13.704825791323088,2.645087813324538,1.705538512829225,4.243271978930488,0.03750489224770606
breast_T2_to_T3,endpoint_ftv020_alive005,Endpoint FTV 0.20 + alive 0.05,758,758,24.941126401705645,4.64542312546993,-1.4378882117973009,5.8024808441205336,2.1623593496535056,7.795024328922967,4.024771280863164,0.8733509234828496,0.9010554089709762,20.971494792069304,24.192992685026333,10.420543822978168,2.6647942777044853,2.8804170062166454,5.5863518764796884,0.03890301326831874
