model,model_label,conditioning,predicted_visit,n_patients,ftv_abs_err_ml_det_mean,ftv_abs_err_ml_mc_mean_mean,crps_ftv_mean,ftv_raw_width90_ml_mean,coverage90_ftv_raw_mean,ftv_conformal_width90_ml_mean,coverage90_ftv_conformal_mean,pred_ftv_det_ml_mean,obs_ftv_ml_mean,ftv_mc_mean_ml_mean,bias_det_ml_mean,bias_mc_mean_ml_mean
bio_ftv020_alive005,Endpoint+Active,rollout_from_T0,T1,11,6.764591574668885,9.137863854425037,6.380006112471462,17.051560010324405,0.4545454545454545,20.03061589497506,0.6363636363636364,32.58463856957175,25.974476066502657,35.11233992092769,6.610162503069099,9.137863854425037
no_edges,No-edge endpoint,rollout_from_T0,T1,11,6.674107202616605,7.580208880243898,5.359661555311959,15.3183405881418,0.4545454545454545,16.539036826906848,0.6363636363636364,32.502104304053574,25.974476066502657,33.53443112112924,6.527628237550908,7.559955054626577
radial_bio_k8,Radial-biologic k=8,rollout_from_T0,T1,11,4.410793675075879,5.631249283791619,3.622646855629356,16.693707845780263,0.7272727272727273,17.32327568354088,0.7272727272727273,30.24070530371233,25.974476066502657,31.60572535029428,4.266229237209668,5.631249283791619
hybrid_a50_bio_k8,Hybrid-Edge k=8,rollout_from_T0,T1,11,4.47078118757768,6.037694742262834,3.8672909021655486,15.639152391313628,0.7272727272727273,18.22456966337182,0.8181818181818182,30.27669039422816,25.974476066502657,32.0121708087655,4.302214327725497,6.037694742262834
bio_ftv020_alive005,Endpoint+Active,rollout_from_T0,T2,11,16.624497093937613,21.211883441608997,16.81817872285742,20.95103567476029,0.4545454545454545,25.309318599884136,0.4545454545454545,36.029007735035634,19.44776620648124,40.65964964809023,16.581241528554393,21.211883441608997
no_edges,No-edge endpoint,rollout_from_T0,T2,11,15.771833169460296,18.591096231872335,15.283899623898815,18.921147164963575,0.4545454545454545,21.043912389148804,0.4545454545454545,35.18589572581377,19.44776620648124,38.03886243835357,15.73812951933254,18.591096231872335
radial_bio_k8,Radial-biologic k=8,rollout_from_T0,T2,11,14.518475194410849,16.74098311605333,13.753173752837348,18.654364684907563,0.4545454545454545,20.12615109198583,0.4545454545454545,33.96624140089209,19.44776620648124,36.18874932253457,14.518475194410849,16.74098311605333
hybrid_a50_bio_k8,Hybrid-Edge k=8,rollout_from_T0,T2,11,12.484121096134183,13.538305583240014,10.991885472774827,15.985894608221075,0.4545454545454545,17.246880271405633,0.4545454545454545,31.93188730261542,19.44776620648124,32.98607178972125,12.484121096134183,13.538305583240014
bio_ftv020_alive005,Endpoint+Active,rollout_from_T0,T3,11,20.17027138471603,23.50796386327993,19.26169425188521,21.27146893984168,0.4545454545454545,24.195521193985822,0.4545454545454545,39.40069439302792,19.69299282810905,43.150308993660445,19.707701564918864,23.4573161655514
no_edges,No-edge endpoint,rollout_from_T0,T3,11,19.208009470592845,22.108700999559577,18.29415282147748,24.28314254859872,0.4545454545454545,27.426478156873415,0.4545454545454545,38.51138186021284,19.69299282810905,41.801693827668615,18.8183890321038,22.108700999559577
radial_bio_k8,Radial-biologic k=8,rollout_from_T0,T3,11,16.704408956657755,19.314124370713817,16.178756133155073,18.62237714030757,0.4545454545454545,21.35323988358003,0.4545454545454545,36.05571277900176,19.69299282810905,38.93109281597749,16.362719950892707,19.23809998786844
hybrid_a50_bio_k8,Hybrid-Edge k=8,rollout_from_T0,T3,11,12.401936330578543,15.014771600685735,11.804770228065784,21.591724133246377,0.5454545454545454,24.19981666561081,0.5454545454545454,31.82369194139134,19.69299282810905,34.70776442879479,12.130699113282292,15.014771600685735
