model_tag,model_label,bucket,conditioning_context,start_visit,predicted_visit,n_rows,n_patients,obs_ftv_ml_mean,det_ftv_ml_mean,det_ftv_bias_ml_mean,det_ftv_bias_ml_se,det_ftv_mae_ml_mean,det_ftv_mae_ml_se,mc_mean_ftv_ml_mean,mc_mean_ftv_bias_ml_mean,mc_mean_ftv_bias_ml_se,mc_mean_ftv_mae_ml_mean,mc_mean_ftv_mae_ml_se,mc_median_ftv_ml_mean,mc_median_ftv_bias_ml_mean,mc_median_ftv_bias_ml_se,mc_median_ftv_mae_ml_mean,mc_median_ftv_mae_ml_se,coverage90_ftv_raw_mean,coverage90_ftv_conformal_mean,ftv_raw_width90_ml_mean,ftv_conformal_width90_ml_mean,crps_ftv_mean,near_zero_ftv_prob_mean,alive_det_abs_err_mean,alive_count_abs_err_mc_mean_mean,swd_mm_mc_mean_mean,chamfer_mm_mc_mean_mean,dice_mc_mean_mean,high_t3_obs_ftv_p90_threshold_ml,high_t3_n_patients,high_t3_obs_ftv_ml_mean,high_t3_det_ftv_mae_ml_mean,high_t3_mc_mean_ftv_mae_ml_mean,high_t3_mc_median_ftv_mae_ml_mean,det_ftv_mae_ml_mean_change_vs_baseline,det_ftv_mae_ml_mean_reduction_vs_baseline_pct,mc_mean_ftv_mae_ml_mean_change_vs_baseline,mc_mean_ftv_mae_ml_mean_reduction_vs_baseline_pct,mc_median_ftv_mae_ml_mean_change_vs_baseline,mc_median_ftv_mae_ml_mean_reduction_vs_baseline_pct,coverage90_ftv_raw_mean_change_vs_baseline,coverage90_ftv_conformal_mean_change_vs_baseline,ftv_raw_width90_ml_mean_change_vs_baseline,ftv_raw_width90_ml_mean_reduction_vs_baseline_pct,ftv_conformal_width90_ml_mean_change_vs_baseline,ftv_conformal_width90_ml_mean_reduction_vs_baseline_pct,crps_ftv_mean_change_vs_baseline,crps_ftv_mean_reduction_vs_baseline_pct,alive_det_abs_err_mean_change_vs_baseline,alive_det_abs_err_mean_reduction_vs_baseline_pct,alive_count_abs_err_mc_mean_mean_change_vs_baseline,alive_count_abs_err_mc_mean_mean_reduction_vs_baseline_pct,swd_mm_mc_mean_mean_change_vs_baseline,swd_mm_mc_mean_mean_reduction_vs_baseline_pct,chamfer_mm_mc_mean_mean_change_vs_baseline,chamfer_mm_mc_mean_mean_reduction_vs_baseline_pct,dice_mc_mean_mean_change_vs_baseline
v2_sched_samp_baseline,Previous scheduled-sampling baseline,T0->T1,T0->T1,T0,T1,758,758,24.31066286634955,12.608793326913164,-11.701869539436386,0.8557578272280935,11.883832473528484,0.8524388981366733,30.2568761043697,5.946213238020151,0.7171176372323201,13.078615166642091,0.5787979622046329,23.372703572588687,-0.9379592937608592,0.7655655327452827,9.41072724926959,0.6857567275558294,0.7519788918205804,0.9010554089709762,52.20193643999294,54.09730780388797,7.060685409351014,0.0028858839050131925,76.81732270248582,38.5219327176781,1.2899862448437651,3.6143617291078143,0.04688879648081171,,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v2_sched_samp_baseline,Previous scheduled-sampling baseline,T0->T2,T0->T2,T0,T2,758,758,24.747744686521646,12.164520112911259,-12.583224573610385,0.9196253457569629,12.856923421255296,0.9146106856440429,31.304312121049588,6.556567434527944,0.789146694362056,14.459154853924067,0.6351078959367101,23.607608021588238,-1.1401366649334044,0.8371785219988037,10.222317745622165,0.7513625798977202,0.7928759894459103,0.9010554089709762,55.57601011387858,57.558116273044256,7.798260866197799,0.006060356200527704,77.90969525124278,40.03779477242744,1.3375182588117074,3.6960020699357847,0.04482863985646375,,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v2_sched_samp_baseline,Previous scheduled-sampling baseline,T0->T3,T0->T3,T0,T3,758,758,24.941126401705645,12.434830959148588,-12.506295442557057,0.9486729430902007,12.878218933862831,0.9420767623284302,31.297642261937842,6.356515860232198,0.8446096009875207,15.261940008902894,0.6775276293827726,23.14468612751672,-1.7964402741889225,0.8799890476831853,10.6942633736246,0.792189528593466,0.7664907651715039,0.9010554089709762,56.87184068818678,59.51459803718567,8.354038658331318,0.008420596965699209,78.81143364605143,40.783022757255935,1.320410896602223,3.6561073841503404,0.04737038733276247,58.794409700669355,76,115.0614352230263,69.37810087970159,42.592190174667465,54.13412668555919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v2_sched_samp_baseline,Previous scheduled-sampling baseline,T1->T2,"T0,T1->T2",T1,T2,758,758,24.747744686521646,12.183605217005297,-12.564139469516348,0.8102549224571866,12.92006259711089,0.8028268696861139,31.608165426357136,6.860420739835492,0.6493357763211577,13.41108472770216,0.49620401934830716,24.522182295640217,-0.22556239088143054,0.6984822171737616,9.694607256818543,0.6031496658127974,0.7928759894459103,0.9010554089709762,54.211037549383455,56.249018947903664,7.277693140211576,0.007116795844327177,78.37603271880621,40.41468605705805,1.7677373957163895,4.3372218933034254,0.03634705741148686,,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v2_sched_samp_baseline,Previous scheduled-sampling baseline,T1->T3,"T0,T1->T3",T1,T3,758,758,24.941126401705645,12.197775446357966,-12.743350955347685,0.8888507563226672,13.171908347853684,0.8805591204271461,31.8460067637001,6.904880361994453,0.7591968004603371,14.875411051154453,0.5891119233891053,23.873371742164913,-1.0677546595407308,0.799394601457944,10.601123317377347,0.7014829575280949,0.7638522427440633,0.9010554089709762,57.93882615620298,60.14370894480905,8.098104932427637,0.008523664248021107,79.60835971691127,41.311474480540895,1.8138833046639056,4.421017345552866,0.03409189682102142,58.794409700669355,76,115.0614352230263,66.52373192122866,37.9413365842454,48.87803732235719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v2_sched_samp_baseline,Previous scheduled-sampling baseline,T2->T3,"T0,T1,T2->T3",T2,T3,758,758,24.941126401705645,12.18642217808583,-12.754704223619814,0.8052454623427612,13.046735431597394,0.7990411254488196,31.96508397354091,7.023957571835267,0.6466877710878768,13.802116891868737,0.4813822975944026,24.45925577592195,-0.4818706257836966,0.6944102169288598,9.925943481376336,0.5936002219419009,0.7757255936675461,0.9010554089709762,57.90978281932022,60.24950412542999,7.48972825984209,0.006699373350923483,80.52822788011187,41.641274323878626,2.9657002861927038,5.737823310736217,0.035473934392738,58.794409700669355,76,115.0614352230263,62.84469882015051,31.780889198952842,42.95089337010765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bio_ftv020_alive005,High FTV + high alive,T0->T1,T0->T1,T0,T1,758,758,24.31066286634955,22.984442583578595,-1.3262202827709542,0.497866566374652,4.66089867660406,0.47063480560311044,25.788987101526306,1.478324235176755,0.4894113657548508,5.657303189009259,0.447360734200691,24.063559474392935,-0.24710339195661468,0.48676804554404185,4.712863853301425,0.4557223480877353,0.8720316622691293,0.9010554089709762,18.609216751432832,22.03102967392009,3.9676188129120864,0.048699290897097625,0.6182995370950422,0.8328506348944591,1.1690882720659868,3.445710426372222,0.05109969623453921,,0,,,,,-7.222933796924424,60.7794986424933,-7.421311977632833,56.74386686261249,-4.697863395968165,49.92030128524645,0.1200527704485489,0.0,-33.59271968856011,64.35148191710385,-32.066278129967884,59.27518287271087,-3.0930665964389275,43.80688866752991,-76.19902316539078,99.19510402687462,-37.68908208278364,97.83798325749046,-0.12089797277777836,9.37203580743768,-0.16865130273559226,4.666143440413832,0.004210899753727494
bio_ftv020_alive005,High FTV + high alive,T0->T2,T0->T2,T0,T2,758,758,24.747744686521646,22.588180271205935,-2.1595644153157085,0.5856714852363607,5.527920245561088,0.5557020507700859,27.131043456313577,2.383298769791929,0.5680120675381921,7.255928910793202,0.510482397132974,24.79365758716495,0.045912900643302265,0.5644712497705822,5.76718458035296,0.524112041951401,0.8522427440633246,0.9010554089709762,23.094704725037282,28.221504457697904,4.876324599882027,0.04828186840369393,1.9334547316021529,2.8138347213060686,1.2091260086472952,3.5138730623906165,0.04896407276503696,,0,,,,,-7.329003175694208,57.00433093952919,-7.203225943130866,49.81775225386692,-4.455133165269205,43.58241717909005,0.05936675461741425,0.0,-32.4813053888413,58.44483136210238,-29.33661181534635,50.96867951025239,-2.9219362663157717,37.46907568815945,-75.97624051964063,97.51833873131301,-37.223960051121374,92.97205368752265,-0.12839225016441214,9.599289528838268,-0.18212900754516825,4.927730128363608,0.004135432908573211
bio_ftv020_alive005,High FTV + high alive,T0->T3,T0->T3,T0,T3,758,758,24.941126401705645,23.207074051459806,-1.7340523502458325,0.609447713198192,5.881089204826843,0.5742027949748538,26.87273377253363,1.931607370827989,0.596338323841095,7.608714231759333,0.5329839951783695,24.38561231064475,-0.5555140910608918,0.5914317678564448,6.080481227480391,0.548961475047301,0.8759894459102903,0.9010554089709762,24.423730249919142,27.948916634989093,5.156204494159763,0.057480623350923486,1.8247758337249858,2.6918494393139842,1.20739733271003,3.4851397698441113,0.051402740422183985,58.794409700669355,76,115.0614352230263,31.860894636470352,29.647904425124203,30.045579403268622,-6.997129729035988,54.33305463255698,-7.653225777143561,50.14582531892493,-4.61378214614421,43.14258948889589,0.10949868073878632,0.0,-32.44811043826763,57.054792047565364,-31.565681402196578,53.03855262951426,-3.197834164171555,38.27890072046073,-76.98665781232644,97.68463058048124,-38.09117331794195,93.39958331353685,-0.11301356389219297,8.558969346815273,-0.1709676143062291,4.67621971519201,0.004032353089421514
bio_ftv020_alive005,High FTV + high alive,T1->T2,"T0,T1->T2",T1,T2,758,758,24.747744686521646,22.97084466187399,-1.7769000246476527,0.42475246668804784,5.03867867399264,0.3886483487147435,27.352469979317764,2.6047252927961186,0.41298683002174186,6.2611645760588805,0.35739943978039473,25.637255533956594,0.8895108474349468,0.4111354667913108,5.212963231552195,0.3663049626728992,0.8641160949868074,0.9010554089709762,22.51710460411958,27.38284140734623,4.36025563568246,0.04482911444591029,1.8702051330524887,2.7257121949208445,1.6337818688487797,4.156189250099177,0.03998427306163016,,0,,,,,-7.88138392311825,61.001128004446656,-7.14992015164328,53.313511150028646,-4.481644025266347,46.22821643562978,0.0712401055408971,0.0,-31.693932945263875,58.463985155038465,-28.866177540557434,51.31854400392746,-2.917437504529116,40.08739374307146,-76.50582758575372,97.61380479698133,-37.6889738621372,93.25563932113033,-0.1339555268676098,7.577795615582556,-0.18103264320424817,4.173930863066023,0.0036372156501432995
